T0751 - loss: 0.05, correlation: 0.752243
T0699 - loss: 0.03, correlation: 0.963428
T0753 - loss: 0.06, correlation: 0.979198
T0752 - loss: 0.06, correlation: 0.930759
T0755 - loss: 0.00, correlation: 0.881910
T0754 - loss: 0.16, correlation: 0.743135
T0757 - loss: 0.07, correlation: 0.948573
T0756 - loss: 0.07, correlation: 0.556800
T0690 - loss: 0.05, correlation: 0.710439
T0691 - loss: 0.02, correlation: 0.800748
T0692 - loss: 0.01, correlation: 0.991227
T0693 - loss: 0.02, correlation: 0.909508
T0694 - loss: 0.01, correlation: 0.943882
T0696 - loss: 0.24, correlation: 0.680156
T0697 - loss: 0.06, correlation: 0.982094
T0434 - loss: 0.04, correlation: 0.944423
T0435 - loss: 0.02, correlation: 0.954218
T0436 - loss: 0.03, correlation: 0.939082
T0437 - loss: 0.06, correlation: 0.924992
T0539 - loss: 0.06, correlation: 0.905013
T0431 - loss: 0.03, correlation: 0.949342
T0432 - loss: 0.01, correlation: 0.972293
T0679 - loss: 0.01, correlation: 0.947787
T0391 - loss: 0.03, correlation: 0.949254
T0390 - loss: 0.01, correlation: 0.965253
T0393 - loss: 0.04, correlation: 0.921099
T0392 - loss: 0.02, correlation: 0.954514
T0395 - loss: 0.02, correlation: 0.959637
T0394 - loss: 0.12, correlation: 0.932046
T0397 - loss: 0.04, correlation: 0.890776
T0396 - loss: 0.03, correlation: 0.976801
T0399 - loss: 0.01, correlation: 0.937755
T0398 - loss: 0.08, correlation: 0.981317
T0829 - loss: 0.08, correlation: 0.805400
T0584 - loss: 0.01, correlation: 0.973851
T0585 - loss: 0.01, correlation: 0.945207
T0586 - loss: 0.02, correlation: 0.955325
T0580 - loss: 0.06, correlation: 0.946292
T0581 - loss: 0.00, correlation: 0.545948
T0582 - loss: 0.03, correlation: 0.919758
T0588 - loss: 0.01, correlation: 0.917921
T0589 - loss: 0.06, correlation: 0.949748
T0433 - loss: 0.01, correlation: 0.967675
average loss: 0.043831, average correlation: 0.900159
