T0415 - loss: 0.03, correlation: 0.983270
T0412 - loss: 0.00, correlation: 0.996164
T0413 - loss: 0.05, correlation: 0.975088
T0410 - loss: 0.00, correlation: 0.578893
T0411 - loss: 0.07, correlation: 0.981724
T0418 - loss: 0.04, correlation: 0.995823
T0419 - loss: 0.00, correlation: 0.985548
T0741 - loss: 0.00, correlation: 0.245363
T0738 - loss: 0.03, correlation: 0.857721
T0733 - loss: 0.01, correlation: 0.958710
T0732 - loss: 0.01, correlation: 0.787552
T0731 - loss: 0.01, correlation: 0.905158
T0737 - loss: 0.00, correlation: 0.433145
T0736 - loss: 0.00, correlation: 0.963797
T0735 - loss: 0.00, correlation: 0.768802
T0734 - loss: 0.00, correlation: 0.943027
T0438 - loss: 0.00, correlation: 0.970550
T0808 - loss: 0.02, correlation: 0.328328
T0801 - loss: 0.00, correlation: 0.993594
T0800 - loss: 0.00, correlation: 0.911354
T0803 - loss: 0.00, correlation: 0.878330
T0805 - loss: 0.02, correlation: 0.957676
T0807 - loss: 0.03, correlation: 0.992993
T0806 - loss: 0.00, correlation: 0.919049
T0607 - loss: 0.02, correlation: 0.419069
T0606 - loss: 0.01, correlation: 0.879032
T0605 - loss: 0.00, correlation: 0.930690
T0604 - loss: 0.02, correlation: 0.824161
T0603 - loss: 0.02, correlation: 0.653781
T0602 - loss: 0.02, correlation: 0.818064
T0601 - loss: 0.02, correlation: 0.612969
T0600 - loss: 0.03, correlation: 0.945302
T0539 - loss: 0.01, correlation: 0.960251
T0609 - loss: 0.00, correlation: 0.900153
T0608 - loss: 0.00, correlation: 0.345330
T0491 - loss: 0.01, correlation: 0.984394
T0513 - loss: 0.00, correlation: 0.994979
T0512 - loss: 0.00, correlation: 0.978840
T0458 - loss: 0.01, correlation: 0.705052
T0510 - loss: 0.00, correlation: 0.974091
T0517 - loss: 0.00, correlation: 0.247604
T0516 - loss: 0.01, correlation: 0.412166
T0515 - loss: 0.00, correlation: 0.708648
T0514 - loss: 0.01, correlation: 0.939936
T0452 - loss: 0.10, correlation: 0.975353
T0453 - loss: 0.01, correlation: 0.981349
T0450 - loss: 0.02, correlation: 0.930905
T0451 - loss: 0.03, correlation: 0.990114
T0456 - loss: 0.00, correlation: 0.989169
T0457 - loss: 0.00, correlation: 0.980508
T0454 - loss: 0.00, correlation: 0.987688
T0455 - loss: 0.02, correlation: 0.992453
T0498 - loss: 0.10, correlation: -0.579549
T0499 - loss: 0.01, correlation: 0.952639
T0501 - loss: 0.00, correlation: 0.644622
T0508 - loss: 0.02, correlation: 0.994833
T0490 - loss: 0.07, correlation: 0.980586
T0778 - loss: 0.00, correlation: 0.996680
T0777 - loss: 0.02, correlation: 0.683127
T0776 - loss: 0.04, correlation: 0.990129
T0774 - loss: 0.02, correlation: 0.884312
T0773 - loss: 0.01, correlation: 0.927476
T0772 - loss: 0.02, correlation: 0.955263
T0771 - loss: 0.00, correlation: 0.596406
T0770 - loss: 0.04, correlation: 0.906134
T0791 - loss: 0.00, correlation: 0.707381
T0790 - loss: 0.02, correlation: 0.701854
T0651 - loss: 0.00, correlation: 0.571912
T0856 - loss: 0.06, correlation: 0.965037
T0857 - loss: 0.00, correlation: 0.830851
T0854 - loss: 0.00, correlation: 0.992936
T0855 - loss: 0.00, correlation: 0.798670
T0852 - loss: 0.02, correlation: 0.976917
T0853 - loss: 0.00, correlation: 0.657269
T0851 - loss: 0.22, correlation: 0.940926
T0858 - loss: 0.03, correlation: 0.989233
T0557 - loss: 0.01, correlation: 0.981960
T0555 - loss: 0.00, correlation: 0.842226
T0553 - loss: 0.00, correlation: 0.725638
T0552 - loss: 0.06, correlation: 0.769590
T0551 - loss: 0.25, correlation: 0.537298
T0550 - loss: 0.02, correlation: 0.621818
T0496 - loss: 0.01, correlation: 0.660856
T0497 - loss: 0.04, correlation: 0.987521
T0494 - loss: 0.05, correlation: 0.962430
T0495 - loss: 0.01, correlation: 0.967295
T0492 - loss: 0.10, correlation: 0.975770
T0493 - loss: 0.00, correlation: 0.990719
T0559 - loss: 0.03, correlation: 0.967580
T0558 - loss: 0.01, correlation: 0.928752
T0794 - loss: 0.01, correlation: 0.874732
T0797 - loss: 0.01, correlation: 0.925451
T0796 - loss: 0.08, correlation: 0.898479
T0658 - loss: 0.00, correlation: 0.819414
T0659 - loss: 0.03, correlation: 0.940351
T0792 - loss: 0.00, correlation: 0.932745
T0654 - loss: 0.05, correlation: 0.957110
T0655 - loss: 0.05, correlation: 0.922394
T0657 - loss: 0.01, correlation: 0.961275
T0650 - loss: 0.12, correlation: 0.730732
T0798 - loss: 0.00, correlation: 0.983194
T0652 - loss: 0.00, correlation: 0.558244
T0653 - loss: 0.00, correlation: 0.043734
T0423 - loss: 0.01, correlation: 0.991438
T0422 - loss: 0.10, correlation: 0.978805
T0421 - loss: 0.00, correlation: 0.976493
T0420 - loss: 0.06, correlation: 0.965093
T0427 - loss: 0.01, correlation: 0.989729
T0426 - loss: 0.01, correlation: 0.980788
T0425 - loss: 0.01, correlation: 0.984181
