T0751 - loss: 0.05, correlation: 0.714814
T0699 - loss: 0.03, correlation: 0.955367
T0753 - loss: 0.06, correlation: 0.959192
T0752 - loss: 0.06, correlation: 0.918683
T0755 - loss: 0.00, correlation: 0.852596
T0754 - loss: 0.16, correlation: 0.723807
T0757 - loss: 0.05, correlation: 0.942467
T0756 - loss: 0.07, correlation: 0.584784
T0690 - loss: 0.05, correlation: 0.664899
T0691 - loss: 0.02, correlation: 0.763538
T0692 - loss: 0.01, correlation: 0.992812
T0693 - loss: 0.02, correlation: 0.918288
T0694 - loss: 0.04, correlation: 0.937700
T0696 - loss: 0.24, correlation: 0.666197
T0697 - loss: 0.03, correlation: 0.979258
T0434 - loss: 0.04, correlation: 0.946842
T0435 - loss: 0.02, correlation: 0.953533
T0436 - loss: 0.03, correlation: 0.936352
T0437 - loss: 0.06, correlation: 0.949187
T0539 - loss: 0.06, correlation: 0.916978
T0431 - loss: 0.03, correlation: 0.947312
T0432 - loss: 0.01, correlation: 0.963897
T0679 - loss: 0.02, correlation: 0.950668
T0391 - loss: 0.03, correlation: 0.947551
T0390 - loss: 0.00, correlation: 0.951585
T0393 - loss: 0.04, correlation: 0.903798
T0392 - loss: 0.02, correlation: 0.951179
T0395 - loss: 0.02, correlation: 0.954541
T0394 - loss: 0.06, correlation: 0.936803
T0397 - loss: 0.04, correlation: 0.915163
T0396 - loss: 0.02, correlation: 0.975734
T0399 - loss: 0.01, correlation: 0.914473
T0398 - loss: 0.09, correlation: 0.981050
T0829 - loss: 0.08, correlation: 0.834906
T0584 - loss: 0.05, correlation: 0.951915
T0585 - loss: 0.01, correlation: 0.942082
T0586 - loss: 0.02, correlation: 0.947748
T0580 - loss: 0.05, correlation: 0.943205
T0581 - loss: 0.00, correlation: 0.266555
T0582 - loss: 0.03, correlation: 0.890837
T0588 - loss: 0.01, correlation: 0.916529
T0589 - loss: 0.06, correlation: 0.942923
T0433 - loss: 0.01, correlation: 0.968221
average loss: 0.043035, average correlation: 0.887813
